ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-20T08:00:00+00:00,10000,0,0,10000,0
2026-09-20T12:00:00+00:00,0,9994.503023,86.93051362,10081.43354,2
2026-09-20T16:00:00+00:00,-0.5275646367,9994.503023,144.1347798,10138.11024,2
2026-09-20T20:00:00+00:00,-0.5275646367,9994.503023,165.1816675,10159.15713,2
2026-09-21T00:00:00+00:00,-1.179420491,9994.503023,223.3927134,10216.71632,2
2026-09-21T04:00:00+00:00,-1.179420491,9994.503023,233.4365359,10226.76014,2
2026-09-21T08:00:00+00:00,-2.09610938,9994.503023,551.3891186,10543.79603,2
2026-09-21T12:00:00+00:00,-2.09610938,9994.503023,674.0999632,10666.50688,2
2026-09-21T16:00:00+00:00,-2.262605853,9994.503023,721.6276252,10713.86804,2
2026-09-21T20:00:00+00:00,-2.262605853,9994.503023,757.6090498,10749.84947,2
