ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-20T08:00:00+00:00,10000,0,0,10000,0
2026-09-20T12:00:00+00:00,10000,0,0,10000,0
2026-09-20T16:00:00+00:00,10000,0,0,10000,0
2026-09-20T20:00:00+00:00,10000,0,0,10000,0
2026-09-21T00:00:00+00:00,10000,0,0,10000,0
2026-09-21T04:00:00+00:00,10000,0,0,10000,0
2026-09-21T08:00:00+00:00,0,9988.042363,112.5569986,10100.59936,1
2026-09-21T12:00:00+00:00,9865.44455,0,0,9865.44455,0
2026-09-21T16:00:00+00:00,6181.492506,3681.926984,-8.22215826,9855.197332,1
2026-09-21T20:00:00+00:00,6181.492506,3681.926984,-3.036689993,9860.3828,1
2026-09-22T00:00:00+00:00,6181.492506,3681.926984,26.48059091,9889.900081,1
2026-09-22T04:00:00+00:00,6181.492506,3681.926984,35.65488092,9899.074371,1
2026-09-22T08:00:00+00:00,3579.511088,6176.843238,41.16039076,9797.514717,1
2026-09-22T12:00:00+00:00,608.4216454,9146.29948,109.2003412,9863.921466,2
2026-09-22T16:00:00+00:00,6896.338323,2969.456241,-16.00213835,9849.792426,1
2026-09-22T20:00:00+00:00,6896.338323,2969.456241,-15.67218034,9850.122384,1
2026-09-23T00:00:00+00:00,6896.338323,2969.456241,-21.61142443,9844.18314,1
2026-09-23T04:00:00+00:00,6896.338323,2969.456241,-16.66205436,9849.13251,1
2026-09-23T08:00:00+00:00,6896.338323,2969.456241,22.93290624,9888.727471,1
